-0.599899975,-1,0.533783446,-1,0.100275069,-1,-0.866566642,-1,-1,-1,0.066866717,-1,-1,-1,-1,-0.36644161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,0.1,-1,-1,-0.7332,-1,-1,-1,-1,-1,-1,-1,-0.2,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-0.4,-1,0.1,-1,0.0334,-1,-0.7334,-0.6666,-1,-1,-1,-1,-1,-1,-1,-0.4,-1,-0.4666,-1,-1,-0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0.267626778,-1,0.100891722,-1,0.034237733,-1,-0.733183879,-0.666329727,-1,-1,-1,-1,-1,-1,-1,-0.399513606,-1,-0.466167596,-1,-1,-0.499594672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,0.0334,-1,0.2666,-1,-1,-1,-1,-1,-1,-1,-1,-0.4,-1,-0.4334,-1,-1,-1,-1,-1,-0.4466,-1,-1,-1,0.2,-0.4,-1,-1,-0.41334,-0.6334,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-0.4666,-1,0.0666,-1,-1,-1,-1,-1,-1,-1,-1,-0.6666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.4666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-0.399555671,-1,-0.332906351,-1,-0.466204992,-1,-1,-1,-1,-1,-0.399555671,-1,-1,-1,-1,-0.032684186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.599703781,-1,-1,-1,-0.332906351,-1,-0.332906351,-1,-1,-1,1
-0.532277466,-1,0.102646351,-1,0.035886127,-1,-0.532277466,-0.665797915,-1,-1,-1,-1,-1,-1,-1,-0.398556536,-1,-0.46531676,-1,-1,-0.498797113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.331796311,-1,-1,-1,-1,-1,1
-0.5334,-1,0.1,-1,0.0334,-1,-0.5334,-0.6666,-1,-1,-1,-1,-1,-1,-1,-0.4,-1,-0.4666,-1,-1,-0.5,-1,-1,-1,-1,-1,-1,-1,-0.4,-1,-1,-1,-0.3334,-1,-1,-1,-1,-1,1
-0.399231016,-1,-0.365788209,-1,-0.465916373,0.855775393,-0.599487344,0.00128164,-1,-1,-0.465916373,-0.345762576,-1,-0.465916373,-1,-1,-1,-0.399231016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.465916373,-1,-1,-1,-1,-1,-1,1
-1,-1,-0.448225923,-1,-0.448225923,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.034447088,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.961704769
-1,-1,-1,-1,-0.374543938,-0.443969561,-1,0.188366517,-1,-1,-0.374543938,-1,-1,-1,-1,-0.367663922,-1,-1,-1,-1,-1,-0.416241009,-1,-1,-1,-1,-1,-1,-0.374543938,-1,-1,-0.443969561,-1,-1,-1,-1,-1,-1,1
-0.327013357,-1,-0.327013357,-1,0.110539015,-1,-1,-1,-1,-1,-0.394251446,-1,-1,-1,-1,-0.02413908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.534563003,-1,-1,-1,-1,-1,-0.327013357,-1,-1,-1,1
-1,-1,-0.320052802,-1,-0.279971199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.359894396,-1,-1,-1,-1,-1,-1,-1,-0.279971199,-0.320052802,-0.320052802,-0.359894396,-1,-1,1,-1,-1,-1,0.426689068
-1,-0.4266,-1,-1,-0.4,-1,-1,-1,-1,-1,0.1334,-1,-1,-1,-1,-1,-1,-1,-0.4666,-1,-1,-0.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,0.398810258,-1,0.357588922,0.596277738,-1,-1,-1,-1,-0.284180387,-1,-1,-1,-1,-0.34169279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.259496952,-1,-0.276034853,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-0.392712551,-0.460121457,-1,0.153846154,-1,-1,-0.392712551,-1,-1,-1,-1,-0.386032389,-1,-1,-1,-1,-1,-0.433198381,-1,-1,-1,-1,-1,-1,-0.392712551,-1,-1,-0.460121457,-1,-1,-1,-1,-1,-1,1
-1,-1,0.170462526,-1,-0.398013444,0.712250426,-1,-0.398013444,-1,-1,-0.431524029,-1,-1,-1,-1,-0.545098826,-0.464833952,-0.431524029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-0.4,-1,0.2666,-1,-1,-1,-1,-1,-1,-1,-1,-0.3334,-1,-0.4334,-1,-1,-1,-1,-1,-0.4466,-1,-1,-1,-0.4666,-0.4,-1,-1,-0.41334,-0.4334,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,0.166634999,-1,-1,-1,-1,-1,-0.413382401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-0.499979999,-1,-1,-1,-0.599983999,0.766670667,-0.599983999,0.213448538,-1,-1,-0.466578663,-1,-1,-1,-1,-1,-1,-0.379975199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.399975999,-1,-1,0.160046402,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0534,-1,-1,-1,-1,-1,-1,-0.4666,-1,-1,-1,-1,-1,-1,-1,-1,-0.38,0.1934,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-0.4,-1,-0.44,-1,-1,-1,-1,-1,-1,-1,-1,-0.4,-1,-0.4334,-1,-1,-1,-1,-1,-0.4666,-1,-1,-1,0.2,0.1534,-1,-1,-0.41334,-0.4,-1,-1,-1,-1,-1,1
-0.5334,-1,-0.3334,-1,0.1,-0.6,-0.4666,-0.8,-1,-1,-1,-1,-1,-1,-1,0.0334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.5334,-1,-1,-0.6,-1,-0.3334,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,0.2,-1,-0.4866,-0.4066,-1,0.12,-1,-1,-0.4666,-1,-1,-0.4666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-0.399988,-1,-0.399988,-1,-0.533390668,0.866637333,0.200024,0.166623332,-1,-1,-0.466589332,-0.533390668,-1,-1,-1,0.566631333,-1,-0.399988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.399988,-0.466589332,-1,-1,-0.466589332,-0.346586932,-1,-1,-1,-1,-1,1
-0.418410224,-1,-0.27301278,-1,-0.321575527,-1,-1,-0.27301278,-1,-1,-1,-1,-1,-0.224450034,-1,-1,-0.185774314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-0.4,0.8,-1,0.7666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.4666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
